Modelo,Precision (Fraude),Recall (Fraude),F1-score (Fraude),Fraudes detectadas,Fraudes não detectadas,Falsos positivos,ROC-AUC
Regressão Logística (0.50),0.8571428571428571,0.6081081081081081,0.7114624505928854,90,58,15,0.9585514026835323
Regressão Logística (0.30),0.7868852459016393,0.6486486486486487,0.7111111111111111,96,52,26,0.9585514026835323
Random Forest balanceado,0.73125,0.7905405405405406,0.7597402597402597,117,31,43,0.9783930730073528
Random Forest com SMOTE,0.4708171206225681,0.8175675675675675,0.5975308641975309,121,27,136,0.9732768072017148
XGBoost com pesos,0.4699248120300752,0.8445945945945946,0.6038647342995169,125,23,141,0.9714963806059415
XGBoost ajustado,0.11514052583862194,0.8581081081081081,0.20303756994404476,127,21,976,0.9699451268491072
